"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":5560},{""page_index"":1,""viewing_time"":4919},{""page_index"":2,""viewing_time"":4896},{""page_index"":3,""viewing_time"":11479}]","26855","instructions","0","26855","0.0-0.0","","","",""
"","10422","html","1","38488","0.0-1.0","src/external_html/simple_consent.html","","",""
"","21268","survey-text","2","60770","0.0-2.0","","{""Q0"":""23"",""Q1"":""4"",""Q2"":""psychology""}","",""
"","6725","survey-multi-choice","3","68518","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","5788","survey-multi-choice","4","75310","0.0-4.0","","{""Q0"":""No""}","",""
"","21653","survey-text","5","97965","0.0-5.0","","{""Q0"":""N/A"",""Q1"":""N/A""}","",""
"","4189","survey-multi-choice","6","103157","0.0-6.0","","{""Q0"":""Yes""}","",""
"","12141","survey-multi-choice","7","116301","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","22068","survey-multi-choice","8","139374","0.0-8.0","","{""Q0"":""2-4 Hours""}","",""
"","10917","survey-likert","9","151295","0.0-9.0","","{""Q0"":""4""}","",""
"","7734","survey-likert","10","160030","0.0-10.0","","{""Q0"":""5""}","",""
"","13902","survey-likert","11","174934","0.0-11.0","","{""Q0"":""4""}","",""
"","9989","survey-likert","12","185926","0.0-12.0","","{""Q0"":""2""}","",""
"[{""page_index"":0,""viewing_time"":5063},{""page_index"":1,""viewing_time"":22183},{""page_index"":2,""viewing_time"":4753},{""page_index"":3,""viewing_time"":5704},{""page_index"":4,""viewing_time"":5096}]","42799","instructions","13","229725","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":93550},{""page_index"":1,""viewing_time"":4048}]","97598","instructions","14","328325","0.0-14.0","","","",""
"","19510","survey-likert","15","348836","0.0-15.0","","{""Q0"":""3""}","",""
"","6774","survey-likert","16","356612","0.0-16.0","","{""Q0"":""4""}","",""
"","7119","survey-likert","17","364734","0.0-17.0","","{""Q0"":""3""}","",""
"","5980","survey-likert","18","371716","0.0-18.0","","{""Q0"":""4""}","",""
"","5599","survey-likert","19","378316","0.0-19.0","","{""Q0"":""4""}","",""
"","7997","survey-likert","20","387316","0.0-20.0","","{""Q0"":""4""}","",""
"","27010","suitability","21","417332","0.0-21.0","","","85","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":78827},{""page_index"":1,""viewing_time"":2992}]","81819","instructions","22","500153","0.0-22.0","","","",""
"","7430","survey-likert","23","508585","0.0-23.0","","{""Q0"":""3""}","",""
"","11094","survey-likert","24","520680","0.0-24.0","","{""Q0"":""3""}","",""
"","5151","survey-likert","25","526832","0.0-25.0","","{""Q0"":""3""}","",""
"","3190","survey-likert","26","531025","0.0-26.0","","{""Q0"":""4""}","",""
"","3685","survey-likert","27","535713","0.0-27.0","","{""Q0"":""4""}","",""
"","5421","survey-likert","28","542136","0.0-28.0","","{""Q0"":""4""}","",""
"","7542","suitability","29","552681","0.0-29.0","","","91","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":43349},{""page_index"":1,""viewing_time"":1585}]","44934","instructions","30","598616","0.0-30.0","","","",""
"","7334","survey-likert","31","606952","0.0-31.0","","{""Q0"":""2""}","",""
"","4317","survey-likert","32","612272","0.0-32.0","","{""Q0"":""3""}","",""
"","6262","survey-likert","33","619537","0.0-33.0","","{""Q0"":""2""}","",""
"","3020","survey-likert","34","623560","0.0-34.0","","{""Q0"":""4""}","",""
"","5854","survey-likert","35","630416","0.0-35.0","","{""Q0"":""4""}","",""
"","2662","survey-likert","36","634080","0.0-36.0","","{""Q0"":""4""}","",""
"","7051","suitability","37","644136","0.0-37.0","","","72","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":25014},{""page_index"":1,""viewing_time"":1873}]","26887","instructions","38","672024","0.0-38.0","","","",""
"","5685","survey-likert","39","678711","0.0-39.0","","{""Q0"":""2""}","",""
"","11335","survey-likert","40","691047","0.0-40.0","","{""Q0"":""3""}","",""
"","3766","survey-likert","41","695815","0.0-41.0","","{""Q0"":""2""}","",""
"","2205","survey-likert","42","699023","0.0-42.0","","{""Q0"":""4""}","",""
"","2127","survey-likert","43","702151","0.0-43.0","","{""Q0"":""4""}","",""
"","3591","survey-likert","44","706743","0.0-44.0","","{""Q0"":""4""}","",""
"","12668","suitability","45","722415","0.0-45.0","","","72","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
