"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":2069},{""page_index"":1,""viewing_time"":1407},{""page_index"":2,""viewing_time"":2679},{""page_index"":3,""viewing_time"":3624}]","9780","instructions","0","9781","0.0-0.0","","","",""
"","8166","html","1","19157","0.0-1.0","src/external_html/simple_consent.html","","",""
"","12924","survey-text","2","33087","0.0-2.0","","{""Q0"":""20"",""Q1"":""2"",""Q2"":""Psychobiology""}","",""
"","4863","survey-multi-choice","3","38958","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","2283","survey-multi-choice","4","42245","0.0-4.0","","{""Q0"":""Yes""}","",""
"","14853","survey-text","5","58101","0.0-5.0","","{""Q0"":""14"",""Q1"":""10""}","",""
"","1949","survey-multi-choice","6","61053","0.0-6.0","","{""Q0"":""Yes""}","",""
"","2988","survey-multi-choice","7","65045","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","6684","survey-multi-choice","8","72733","0.0-8.0","","{""Q0"":""4-6 Hours""}","",""
"","9894","survey-likert","9","83630","0.0-9.0","","{""Q0"":""4""}","",""
"","3710","survey-likert","10","88341","0.0-10.0","","{""Q0"":""5""}","",""
"","6093","survey-likert","11","95436","0.0-11.0","","{""Q0"":""2""}","",""
"","3694","survey-likert","12","100133","0.0-12.0","","{""Q0"":""5""}","",""
"[{""page_index"":0,""viewing_time"":1302},{""page_index"":1,""viewing_time"":34408},{""page_index"":2,""viewing_time"":1561},{""page_index"":3,""viewing_time"":2111},{""page_index"":4,""viewing_time"":5969}]","45351","instructions","13","146485","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":65990},{""page_index"":1,""viewing_time"":1600}]","67590","instructions","14","215077","0.0-14.0","","","",""
"","6991","survey-likert","15","223069","0.0-15.0","","{""Q0"":""3""}","",""
"","4167","survey-likert","16","228237","0.0-16.0","","{""Q0"":""4""}","",""
"","2917","survey-likert","17","232157","0.0-17.0","","{""Q0"":""3""}","",""
"","2630","survey-likert","18","235788","0.0-18.0","","{""Q0"":""4""}","",""
"","2631","survey-likert","19","239421","0.0-19.0","","{""Q0"":""4""}","",""
"","2438","survey-likert","20","242861","0.0-20.0","","{""Q0"":""4""}","",""
"","14660","suitability","21","260526","0.0-21.0","","","92","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":35575},{""page_index"":1,""viewing_time"":1479}]","37054","instructions","22","298581","0.0-22.0","","","",""
"","7068","survey-likert","23","306654","0.0-23.0","","{""Q0"":""1""}","",""
"","5367","survey-likert","24","313022","0.0-24.0","","{""Q0"":""1""}","",""
"","4247","survey-likert","25","318271","0.0-25.0","","{""Q0"":""3""}","",""
"","5292","survey-likert","26","324566","0.0-26.0","","{""Q0"":""2""}","",""
"","2302","survey-likert","27","327870","0.0-27.0","","{""Q0"":""2""}","",""
"","4238","survey-likert","28","333110","0.0-28.0","","{""Q0"":""0""}","",""
"","4163","suitability","29","340278","0.0-29.0","","","18","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":48527},{""page_index"":1,""viewing_time"":1199}]","49726","instructions","30","391006","0.0-30.0","","","",""
"","7014","survey-likert","31","399023","0.0-31.0","","{""Q0"":""2""}","",""
"","4557","survey-likert","32","404582","0.0-32.0","","{""Q0"":""3""}","",""
"","2599","survey-likert","33","408182","0.0-33.0","","{""Q0"":""3""}","",""
"","4392","survey-likert","34","413576","0.0-34.0","","{""Q0"":""4""}","",""
"","4677","survey-likert","35","419254","0.0-35.0","","{""Q0"":""4""}","",""
"","6247","survey-likert","36","426502","0.0-36.0","","{""Q0"":""3""}","",""
"","3333","suitability","37","432839","0.0-37.0","","","65","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":41190},{""page_index"":1,""viewing_time"":896}]","42087","instructions","38","475927","0.0-38.0","","","",""
"","2599","survey-likert","39","479527","0.0-39.0","","{""Q0"":""4""}","",""
"","1765","survey-likert","40","482295","0.0-40.0","","{""Q0"":""4""}","",""
"","2021","survey-likert","41","485319","0.0-41.0","","{""Q0"":""3""}","",""
"","2373","survey-likert","42","488695","0.0-42.0","","{""Q0"":""4""}","",""
"","1909","survey-likert","43","491606","0.0-43.0","","{""Q0"":""4""}","",""
"","2502","survey-likert","44","495110","0.0-44.0","","{""Q0"":""4""}","",""
"","3677","suitability","45","501791","0.0-45.0","","","98","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
