"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":4035},{""page_index"":1,""viewing_time"":1671},{""page_index"":2,""viewing_time"":1872},{""page_index"":3,""viewing_time"":3288}]","10866","instructions","0","10868","0.0-0.0","","","",""
"","6230","html","1","18172","0.0-1.0","src/external_html/simple_consent.html","","",""
"","23475","survey-text","2","42653","0.0-2.0","","{""Q0"":""20"",""Q1"":""2"",""Q2"":""psychobiology""}","",""
"","5480","survey-multi-choice","3","49139","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","3187","survey-multi-choice","4","53331","0.0-4.0","","{""Q0"":""No""}","",""
"","8854","survey-text","5","63186","0.0-5.0","","{""Q0"":""N/A"",""Q1"":""N/A""}","",""
"","2614","survey-multi-choice","6","66802","0.0-6.0","","{""Q0"":""Yes""}","",""
"","4309","survey-multi-choice","7","72114","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","7676","survey-multi-choice","8","80794","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","4542","survey-likert","9","86338","0.0-9.0","","{""Q0"":""4""}","",""
"","3486","survey-likert","10","90826","0.0-10.0","","{""Q0"":""5""}","",""
"","5214","survey-likert","11","97043","0.0-11.0","","{""Q0"":""4""}","",""
"","5028","survey-likert","12","103074","0.0-12.0","","{""Q0"":""4""}","",""
"[{""page_index"":0,""viewing_time"":2263},{""page_index"":1,""viewing_time"":10527},{""page_index"":2,""viewing_time"":2161},{""page_index"":3,""viewing_time"":3752},{""page_index"":4,""viewing_time"":3816}]","22519","instructions","13","126594","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":26478},{""page_index"":1,""viewing_time"":1985}]","28463","instructions","14","156058","0.0-14.0","","","",""
"","5294","survey-likert","15","162353","0.0-15.0","","{""Q0"":""3""}","",""
"","4061","survey-likert","16","167418","0.0-16.0","","{""Q0"":""3""}","",""
"","3389","survey-likert","17","171810","0.0-17.0","","{""Q0"":""3""}","",""
"","3135","survey-likert","18","175946","0.0-18.0","","{""Q0"":""4""}","",""
"","4125","survey-likert","19","181073","0.0-19.0","","{""Q0"":""3""}","",""
"","6174","survey-likert","20","188250","0.0-20.0","","{""Q0"":""3""}","",""
"","6629","suitability","21","197883","0.0-21.0","","","76","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":38333},{""page_index"":1,""viewing_time"":1488}]","39822","instructions","22","238706","0.0-22.0","","","",""
"","2437","survey-likert","23","242146","0.0-23.0","","{""Q0"":""3""}","",""
"","3063","survey-likert","24","246209","0.0-24.0","","{""Q0"":""3""}","",""
"","2399","survey-likert","25","249609","0.0-25.0","","{""Q0"":""3""}","",""
"","2543","survey-likert","26","253153","0.0-26.0","","{""Q0"":""4""}","",""
"","2614","survey-likert","27","256769","0.0-27.0","","{""Q0"":""4""}","",""
"","1989","survey-likert","28","259761","0.0-28.0","","{""Q0"":""3""}","",""
"","5020","suitability","29","267786","0.0-29.0","","","76","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":33366},{""page_index"":1,""viewing_time"":1904}]","35271","instructions","30","304058","0.0-30.0","","","",""
"","4680","survey-likert","31","309738","0.0-31.0","","{""Q0"":""3""}","",""
"","1981","survey-likert","32","312722","0.0-32.0","","{""Q0"":""3""}","",""
"","9142","survey-likert","33","322865","0.0-33.0","","{""Q0"":""4""}","",""
"","2197","survey-likert","34","326066","0.0-34.0","","{""Q0"":""4""}","",""
"","2112","survey-likert","35","329178","0.0-35.0","","{""Q0"":""4""}","",""
"","2391","survey-likert","36","332570","0.0-36.0","","{""Q0"":""3""}","",""
"","8109","suitability","37","343682","0.0-37.0","","","89","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":26199},{""page_index"":1,""viewing_time"":1944}]","28143","instructions","38","372826","0.0-38.0","","","",""
"","2519","survey-likert","39","376346","0.0-39.0","","{""Q0"":""3""}","",""
"","1863","survey-likert","40","379210","0.0-40.0","","{""Q0"":""3""}","",""
"","3902","survey-likert","41","384115","0.0-41.0","","{""Q0"":""3""}","",""
"","2303","survey-likert","42","387419","0.0-42.0","","{""Q0"":""3""}","",""
"","3039","survey-likert","43","391458","0.0-43.0","","{""Q0"":""4""}","",""
"","3510","survey-likert","44","395970","0.0-44.0","","{""Q0"":""3""}","",""
"","3381","suitability","45","402354","0.0-45.0","","","79","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
