"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":1639},{""page_index"":1,""viewing_time"":1383},{""page_index"":2,""viewing_time"":1128},{""page_index"":3,""viewing_time"":1360}]","5510","instructions","0","5512","0.0-0.0","","","",""
"","11240","html","1","17832","0.0-1.0","src/external_html/simple_consent.html","","",""
"","22605","survey-text","2","41442","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""psychology/linguistics""}","",""
"","5279","survey-multi-choice","3","47729","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","2188","survey-multi-choice","4","50920","0.0-4.0","","{""Q0"":""No""}","",""
"","15317","survey-text","5","67240","0.0-5.0","","{""Q0"":""n/a"",""Q1"":""n/a""}","",""
"","2677","survey-multi-choice","6","70920","0.0-6.0","","{""Q0"":""No""}","",""
"","7620","survey-multi-choice","7","79543","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","8436","survey-multi-choice","8","88983","0.0-8.0","","{""Q0"":""4-6 Hours""}","",""
"","5245","survey-likert","9","95232","0.0-9.0","","{""Q0"":""3""}","",""
"","3444","survey-likert","10","99679","0.0-10.0","","{""Q0"":""4""}","",""
"","3230","survey-likert","11","103912","0.0-11.0","","{""Q0"":""5""}","",""
"","4829","survey-likert","12","109744","0.0-12.0","","{""Q0"":""3""}","",""
"[{""page_index"":0,""viewing_time"":1319},{""page_index"":1,""viewing_time"":9831},{""page_index"":2,""viewing_time"":2225},{""page_index"":3,""viewing_time"":4823},{""page_index"":4,""viewing_time"":1985}]","20183","instructions","13","130928","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":64104},{""page_index"":1,""viewing_time"":2032}]","66136","instructions","14","198065","0.0-14.0","","","",""
"","4975","survey-likert","15","204041","0.0-15.0","","{""Q0"":""3""}","",""
"","4701","survey-likert","16","209745","0.0-16.0","","{""Q0"":""4""}","",""
"","7268","survey-likert","17","218017","0.0-17.0","","{""Q0"":""3""}","",""
"","3998","survey-likert","18","223017","0.0-18.0","","{""Q0"":""4""}","",""
"","5862","survey-likert","19","229881","0.0-19.0","","{""Q0"":""3""}","",""
"","3975","survey-likert","20","234858","0.0-20.0","","{""Q0"":""4""}","",""
"","7005","suitability","21","244867","0.0-21.0","","","84","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":47086},{""page_index"":1,""viewing_time"":1887}]","48975","instructions","22","294843","0.0-22.0","","","",""
"","2751","survey-likert","23","298594","0.0-23.0","","{""Q0"":""3""}","",""
"","3126","survey-likert","24","302722","0.0-24.0","","{""Q0"":""3""}","",""
"","10230","survey-likert","25","313954","0.0-25.0","","{""Q0"":""4""}","",""
"","5942","survey-likert","26","320898","0.0-26.0","","{""Q0"":""4""}","",""
"","4687","survey-likert","27","326586","0.0-27.0","","{""Q0"":""4""}","",""
"","3055","survey-likert","28","330642","0.0-28.0","","{""Q0"":""3""}","",""
"","6980","suitability","29","340626","0.0-29.0","","","91","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":42441},{""page_index"":1,""viewing_time"":1656}]","44097","instructions","30","385724","0.0-30.0","","","",""
"","4662","survey-likert","31","391388","0.0-31.0","","{""Q0"":""4""}","",""
"","3076","survey-likert","32","395469","0.0-32.0","","{""Q0"":""4""}","",""
"","3174","survey-likert","33","399645","0.0-33.0","","{""Q0"":""3""}","",""
"","2678","survey-likert","34","403325","0.0-34.0","","{""Q0"":""3""}","",""
"","7413","survey-likert","35","411741","0.0-35.0","","{""Q0"":""3""}","",""
"","8167","survey-likert","36","420909","0.0-36.0","","{""Q0"":""3""}","",""
"","10213","suitability","37","434124","0.0-37.0","","","79","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":53682},{""page_index"":1,""viewing_time"":1456}]","55138","instructions","38","490263","0.0-38.0","","","",""
"","6871","survey-likert","39","498136","0.0-39.0","","{""Q0"":""4""}","",""
"","3117","survey-likert","40","502256","0.0-40.0","","{""Q0"":""3""}","",""
"","4119","survey-likert","41","507376","0.0-41.0","","{""Q0"":""3""}","",""
"","1837","survey-likert","42","510216","0.0-42.0","","{""Q0"":""4""}","",""
"","2734","survey-likert","43","513952","0.0-43.0","","{""Q0"":""4""}","",""
"","4798","survey-likert","44","519751","0.0-44.0","","{""Q0"":""4""}","",""
"","6070","suitability","45","528824","0.0-45.0","","","95","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
