"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":3624},{""page_index"":1,""viewing_time"":4623},{""page_index"":2,""viewing_time"":4127},{""page_index"":3,""viewing_time"":5856}]","18230","instructions","0","18232","0.0-0.0","","","",""
"","8988","html","1","28440","0.0-1.0","src/external_html/simple_consent.html","","",""
"","15174","survey-text","2","44618","0.0-2.0","","{""Q0"":""20"",""Q1"":""3 years "",""Q2"":""Pre-psychology""}","",""
"","4931","survey-multi-choice","3","50569","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","2403","survey-multi-choice","4","53976","0.0-4.0","","{""Q0"":""Yes""}","",""
"","20006","survey-text","5","74984","0.0-5.0","","{""Q0"":""13.50"",""Q1"":""12 ""}","",""
"","3127","survey-multi-choice","6","79112","0.0-6.0","","{""Q0"":""Yes""}","",""
"","8829","survey-multi-choice","7","88943","0.0-7.0","","{""Q0"":""Yesterday Afternoon""}","",""
"","9213","survey-multi-choice","8","99160","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","9536","survey-likert","9","109698","0.0-9.0","","{""Q0"":""4""}","",""
"","5884","survey-likert","10","116585","0.0-10.0","","{""Q0"":""3""}","",""
"","3076","survey-likert","11","120665","0.0-11.0","","{""Q0"":""6""}","",""
"","4637","survey-likert","12","126305","0.0-12.0","","{""Q0"":""4""}","",""
"[{""page_index"":0,""viewing_time"":2374},{""page_index"":1,""viewing_time"":18872},{""page_index"":2,""viewing_time"":4992},{""page_index"":3,""viewing_time"":5352},{""page_index"":4,""viewing_time"":14187}]","45777","instructions","13","173084","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":74455},{""page_index"":1,""viewing_time"":2737}]","77193","instructions","14","251278","0.0-14.0","","","",""
"","6910","survey-likert","15","259189","0.0-15.0","","{""Q0"":""3""}","",""
"","6166","survey-likert","16","266357","0.0-16.0","","{""Q0"":""4""}","",""
"","7446","survey-likert","17","274805","0.0-17.0","","{""Q0"":""3""}","",""
"","5998","survey-likert","18","281805","0.0-18.0","","{""Q0"":""4""}","",""
"","5758","survey-likert","19","288565","0.0-19.0","","{""Q0"":""4""}","",""
"","5526","survey-likert","20","295093","0.0-20.0","","{""Q0"":""3""}","",""
"","12534","suitability","21","310631","0.0-21.0","","","79","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":59295},{""page_index"":1,""viewing_time"":1352}]","60648","instructions","22","372281","0.0-22.0","","","",""
"","4717","survey-likert","23","378001","0.0-23.0","","{""Q0"":""2""}","",""
"","7127","survey-likert","24","386128","0.0-24.0","","{""Q0"":""4""}","",""
"","4871","survey-likert","25","392000","0.0-25.0","","{""Q0"":""3""}","",""
"","6189","survey-likert","26","399192","0.0-26.0","","{""Q0"":""4""}","",""
"","5335","survey-likert","27","405528","0.0-27.0","","{""Q0"":""4""}","",""
"","4877","survey-likert","28","411408","0.0-28.0","","{""Q0"":""4""}","",""
"","7948","suitability","29","422361","0.0-29.0","","","99","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":54467},{""page_index"":1,""viewing_time"":1665}]","56132","instructions","30","479494","0.0-30.0","","","",""
"","5110","survey-likert","31","485606","0.0-31.0","","{""Q0"":""4""}","",""
"","3845","survey-likert","32","490453","0.0-32.0","","{""Q0"":""4""}","",""
"","3316","survey-likert","33","494773","0.0-33.0","","{""Q0"":""4""}","",""
"","6487","survey-likert","34","502262","0.0-34.0","","{""Q0"":""4""}","",""
"","2942","survey-likert","35","506205","0.0-35.0","","{""Q0"":""4""}","",""
"","4006","survey-likert","36","511213","0.0-36.0","","{""Q0"":""4""}","",""
"","13444","suitability","37","527661","0.0-37.0","","","90","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":36098},{""page_index"":1,""viewing_time"":1376}]","37474","instructions","38","566137","0.0-38.0","","","",""
"","2252","survey-likert","39","569392","0.0-39.0","","{""Q0"":""3""}","",""
"","5967","survey-likert","40","576361","0.0-40.0","","{""Q0"":""2""}","",""
"","7350","survey-likert","41","584712","0.0-41.0","","{""Q0"":""3""}","",""
"","4661","survey-likert","42","590377","0.0-42.0","","{""Q0"":""4""}","",""
"","3230","survey-likert","43","594608","0.0-43.0","","{""Q0"":""4""}","",""
"","14005","survey-likert","44","609616","0.0-44.0","","{""Q0"":""1""}","",""
"","5892","suitability","45","618513","0.0-45.0","","","59","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
