"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":2307},{""page_index"":1,""viewing_time"":3966},{""page_index"":2,""viewing_time"":3736},{""page_index"":3,""viewing_time"":3760}]","13770","instructions","0","13770","0.0-0.0","","","",""
"","8773","html","1","23802","0.0-1.0","src/external_html/simple_consent.html","","",""
"","14365","survey-text","2","39196","0.0-2.0","","{""Q0"":""28"",""Q1"":""4"",""Q2"":""psychology""}","",""
"","4429","survey-multi-choice","3","44668","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","2282","survey-multi-choice","4","47954","0.0-4.0","","{""Q0"":""Yes""}","",""
"","13653","survey-text","5","62610","0.0-5.0","","{""Q0"":""11.00"",""Q1"":""11""}","",""
"","2358","survey-multi-choice","6","65970","0.0-6.0","","{""Q0"":""Yes""}","",""
"","3420","survey-multi-choice","7","70394","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","7116","survey-multi-choice","8","78514","0.0-8.0","","{""Q0"":""2-4 Hours""}","",""
"","4742","survey-likert","9","84259","0.0-9.0","","{""Q0"":""3""}","",""
"","4364","survey-likert","10","89625","0.0-10.0","","{""Q0"":""5""}","",""
"","3158","survey-likert","11","93786","0.0-11.0","","{""Q0"":""5""}","",""
"","4966","survey-likert","12","99753","0.0-12.0","","{""Q0"":""3""}","",""
"[{""page_index"":0,""viewing_time"":1902},{""page_index"":1,""viewing_time"":15471},{""page_index"":2,""viewing_time"":3217},{""page_index"":3,""viewing_time"":3776},{""page_index"":4,""viewing_time"":4064}]","28431","instructions","13","129186","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":54926},{""page_index"":1,""viewing_time"":2760}]","57687","instructions","14","187873","0.0-14.0","","","",""
"","3725","survey-likert","15","192601","0.0-15.0","","{""Q0"":""3""}","",""
"","7246","survey-likert","16","200848","0.0-16.0","","{""Q0"":""3""}","",""
"","3727","survey-likert","17","205577","0.0-17.0","","{""Q0"":""3""}","",""
"","4149","survey-likert","18","210728","0.0-18.0","","{""Q0"":""3""}","",""
"","3168","survey-likert","19","214920","0.0-19.0","","{""Q0"":""3""}","",""
"","3613","survey-likert","20","219536","0.0-20.0","","{""Q0"":""2""}","",""
"","7499","suitability","21","230042","0.0-21.0","","","73","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":18878},{""page_index"":1,""viewing_time"":1424}]","20302","instructions","22","251346","0.0-22.0","","","",""
"","3839","survey-likert","23","256186","0.0-23.0","","{""Q0"":""3""}","",""
"","2405","survey-likert","24","259594","0.0-24.0","","{""Q0"":""3""}","",""
"","3759","survey-likert","25","264355","0.0-25.0","","{""Q0"":""3""}","",""
"","2822","survey-likert","26","268178","0.0-26.0","","{""Q0"":""3""}","",""
"","2782","survey-likert","27","271962","0.0-27.0","","{""Q0"":""3""}","",""
"","2919","survey-likert","28","275882","0.0-28.0","","{""Q0"":""3""}","",""
"","5852","suitability","29","284739","0.0-29.0","","","73","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":46944},{""page_index"":1,""viewing_time"":3745}]","50689","instructions","30","336429","0.0-30.0","","","",""
"","3174","survey-likert","31","340604","0.0-31.0","","{""Q0"":""3""}","",""
"","1599","survey-likert","32","343204","0.0-32.0","","{""Q0"":""3""}","",""
"","2766","survey-likert","33","346972","0.0-33.0","","{""Q0"":""3""}","",""
"","4062","survey-likert","34","352037","0.0-34.0","","{""Q0"":""3""}","",""
"","3460","survey-likert","35","356500","0.0-35.0","","{""Q0"":""3""}","",""
"","3823","survey-likert","36","361324","0.0-36.0","","{""Q0"":""3""}","",""
"","3765","suitability","37","368093","0.0-37.0","","","75","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":39504},{""page_index"":1,""viewing_time"":1560}]","41064","instructions","38","410158","0.0-38.0","","","",""
"","2150","survey-likert","39","413310","0.0-39.0","","{""Q0"":""3""}","",""
"","1494","survey-likert","40","415806","0.0-40.0","","{""Q0"":""3""}","",""
"","1430","survey-likert","41","418238","0.0-41.0","","{""Q0"":""3""}","",""
"","1861","survey-likert","42","421102","0.0-42.0","","{""Q0"":""3""}","",""
"","2045","survey-likert","43","424150","0.0-43.0","","{""Q0"":""3""}","",""
"","5717","survey-likert","44","430870","0.0-44.0","","{""Q0"":""3""}","",""
"","2972","suitability","45","436846","0.0-45.0","","","73","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
