"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":4319},{""page_index"":1,""viewing_time"":4784},{""page_index"":2,""viewing_time"":1695},{""page_index"":3,""viewing_time"":3416}]","14215","instructions","0","14216","0.0-0.0","","","",""
"","13028","html","1","28456","0.0-1.0","src/external_html/simple_consent.html","","",""
"","23340","survey-text","2","52808","0.0-2.0","","{""Q0"":""22"",""Q1"":""5"",""Q2"":""Psychology""}","",""
"","6120","survey-multi-choice","3","59936","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","2948","survey-multi-choice","4","63887","0.0-4.0","","{""Q0"":""Yes""}","",""
"","10005","survey-text","5","74894","0.0-5.0","","{""Q0"":""12.25"",""Q1"":""18.5""}","",""
"","5085","survey-multi-choice","6","80982","0.0-6.0","","{""Q0"":""Yes""}","",""
"","9638","survey-multi-choice","7","91623","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","3492","survey-multi-choice","8","96119","0.0-8.0","","{""Q0"":""0-2 Hours""}","",""
"","6238","survey-likert","9","103359","0.0-9.0","","{""Q0"":""0""}","",""
"","3838","survey-likert","10","108198","0.0-10.0","","{""Q0"":""0""}","",""
"","5879","survey-likert","11","115080","0.0-11.0","","{""Q0"":""5""}","",""
"","3231","survey-likert","12","119311","0.0-12.0","","{""Q0"":""0""}","",""
"[{""page_index"":0,""viewing_time"":1447},{""page_index"":1,""viewing_time"":14328},{""page_index"":2,""viewing_time"":2488},{""page_index"":3,""viewing_time"":30207},{""page_index"":4,""viewing_time"":5936}]","54406","instructions","13","174718","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":66663},{""page_index"":1,""viewing_time"":1871}]","68535","instructions","14","244256","0.0-14.0","","","",""
"","7046","survey-likert","15","252304","0.0-15.0","","{""Q0"":""4""}","",""
"","3270","survey-likert","16","256576","0.0-16.0","","{""Q0"":""4""}","",""
"","4293","survey-likert","17","261872","0.0-17.0","","{""Q0"":""4""}","",""
"","3127","survey-likert","18","266000","0.0-18.0","","{""Q0"":""4""}","",""
"","2598","survey-likert","19","269601","0.0-19.0","","{""Q0"":""4""}","",""
"","10957","survey-likert","20","281559","0.0-20.0","","{""Q0"":""3""}","",""
"","5563","suitability","21","290129","0.0-21.0","","","91","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":26989},{""page_index"":1,""viewing_time"":2280}]","29269","instructions","22","320400","0.0-22.0","","","",""
"","15534","survey-likert","23","336936","0.0-23.0","","{""Q0"":""3""}","",""
"","5894","survey-likert","24","343833","0.0-24.0","","{""Q0"":""3""}","",""
"","2711","survey-likert","25","347545","0.0-25.0","","{""Q0"":""3""}","",""
"","3350","survey-likert","26","351896","0.0-26.0","","{""Q0"":""4""}","",""
"","2478","survey-likert","27","355377","0.0-27.0","","{""Q0"":""3""}","",""
"","2967","survey-likert","28","359345","0.0-28.0","","{""Q0"":""2""}","",""
"","3854","suitability","29","366201","0.0-29.0","","","69","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":14567},{""page_index"":1,""viewing_time"":1528}]","16095","instructions","30","383297","0.0-30.0","","","",""
"","12734","survey-likert","31","397033","0.0-31.0","","{""Q0"":""2""}","",""
"","3925","survey-likert","32","401961","0.0-32.0","","{""Q0"":""3""}","",""
"","2318","survey-likert","33","405281","0.0-33.0","","{""Q0"":""4""}","",""
"","2150","survey-likert","34","408432","0.0-34.0","","{""Q0"":""4""}","",""
"","3511","survey-likert","35","412945","0.0-35.0","","{""Q0"":""4""}","",""
"","3798","survey-likert","36","417745","0.0-36.0","","{""Q0"":""2""}","",""
"","6709","suitability","37","427457","0.0-37.0","","","68","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":22407},{""page_index"":1,""viewing_time"":1416}]","23823","instructions","38","452281","0.0-38.0","","","",""
"","3151","survey-likert","39","456433","0.0-39.0","","{""Q0"":""4""}","",""
"","5030","survey-likert","40","462466","0.0-40.0","","{""Q0"":""4""}","",""
"","3438","survey-likert","41","466905","0.0-41.0","","{""Q0"":""3""}","",""
"","3174","survey-likert","42","471081","0.0-42.0","","{""Q0"":""4""}","",""
"","2740","survey-likert","43","474825","0.0-43.0","","{""Q0"":""3""}","",""
"","1935","survey-likert","44","477761","0.0-44.0","","{""Q0"":""4""}","",""
"","3253","suitability","45","484017","0.0-45.0","","","72","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
