"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":4693},{""page_index"":1,""viewing_time"":2967},{""page_index"":2,""viewing_time"":2521},{""page_index"":3,""viewing_time"":6207}]","16389","instructions","0","16389","0.0-0.0","","","",""
"","3780","html","1","21405","0.0-1.0","src/external_html/simple_consent.html","","",""
"","12812","survey-text","2","35222","0.0-2.0","","{""Q0"":""21"",""Q1"":""4"",""Q2"":""Psychology""}","",""
"","4116","survey-multi-choice","3","40381","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","2724","survey-multi-choice","4","44108","0.0-4.0","","{""Q0"":""Yes""}","",""
"","20029","survey-text","5","65140","0.0-5.0","","{""Q0"":""10.50"",""Q1"":""20""}","",""
"","6013","survey-multi-choice","6","72156","0.0-6.0","","{""Q0"":""Yes""}","",""
"","7429","survey-multi-choice","7","80588","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","5676","survey-multi-choice","8","87267","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","8805","survey-likert","9","97076","0.0-9.0","","{""Q0"":""5""}","",""
"","4621","survey-likert","10","102700","0.0-10.0","","{""Q0"":""6""}","",""
"","7039","survey-likert","11","110741","0.0-11.0","","{""Q0"":""3""}","",""
"","5684","survey-likert","12","117428","0.0-12.0","","{""Q0"":""4""}","",""
"[{""page_index"":0,""viewing_time"":1447},{""page_index"":1,""viewing_time"":12983},{""page_index"":2,""viewing_time"":2289},{""page_index"":3,""viewing_time"":3576},{""page_index"":4,""viewing_time"":2856}]","23151","instructions","13","141580","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":30478},{""page_index"":1,""viewing_time"":2601}]","33079","instructions","14","175660","0.0-14.0","","","",""
"","6605","survey-likert","15","183268","0.0-15.0","","{""Q0"":""4""}","",""
"","3975","survey-likert","16","188244","0.0-16.0","","{""Q0"":""3""}","",""
"","2998","survey-likert","17","192244","0.0-17.0","","{""Q0"":""4""}","",""
"","3773","survey-likert","18","197019","0.0-18.0","","{""Q0"":""4""}","",""
"","4125","survey-likert","19","202148","0.0-19.0","","{""Q0"":""4""}","",""
"","4621","survey-likert","20","207772","0.0-20.0","","{""Q0"":""4""}","",""
"","10963","suitability","21","221740","0.0-21.0","","","95","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":22742},{""page_index"":1,""viewing_time"":1544}]","24286","instructions","22","247028","0.0-22.0","","","",""
"","3783","survey-likert","23","251812","0.0-23.0","","{""Q0"":""4""}","",""
"","3189","survey-likert","24","256004","0.0-24.0","","{""Q0"":""3""}","",""
"","2742","survey-likert","25","259748","0.0-25.0","","{""Q0"":""4""}","",""
"","1957","survey-likert","26","262708","0.0-26.0","","{""Q0"":""4""}","",""
"","2397","survey-likert","27","266109","0.0-27.0","","{""Q0"":""4""}","",""
"","4812","survey-likert","28","271924","0.0-28.0","","{""Q0"":""4""}","",""
"","4836","suitability","29","279764","0.0-29.0","","","95","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":24454},{""page_index"":1,""viewing_time"":1224}]","25678","instructions","30","306444","0.0-30.0","","","",""
"","2279","survey-likert","31","309724","0.0-31.0","","{""Q0"":""4""}","",""
"","1774","survey-likert","32","312500","0.0-32.0","","{""Q0"":""4""}","",""
"","1758","survey-likert","33","315260","0.0-33.0","","{""Q0"":""4""}","",""
"","1598","survey-likert","34","317860","0.0-34.0","","{""Q0"":""4""}","",""
"","2390","survey-likert","35","321253","0.0-35.0","","{""Q0"":""4""}","",""
"","2614","survey-likert","36","324868","0.0-36.0","","{""Q0"":""4""}","",""
"","3484","suitability","37","331356","0.0-37.0","","","100","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":16941},{""page_index"":1,""viewing_time"":1400}]","18341","instructions","38","350699","0.0-38.0","","","",""
"","4159","survey-likert","39","355859","0.0-39.0","","{""Q0"":""4""}","",""
"","1974","survey-likert","40","358835","0.0-40.0","","{""Q0"":""4""}","",""
"","6291","survey-likert","41","366131","0.0-41.0","","{""Q0"":""3""}","",""
"","2396","survey-likert","42","369532","0.0-42.0","","{""Q0"":""4""}","",""
"","3101","survey-likert","43","373636","0.0-43.0","","{""Q0"":""4""}","",""
"","3093","survey-likert","44","377732","0.0-44.0","","{""Q0"":""4""}","",""
"","4966","suitability","45","385700","0.0-45.0","","","98","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
