"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":4810},{""page_index"":1,""viewing_time"":2879},{""page_index"":2,""viewing_time"":2983},{""page_index"":3,""viewing_time"":11913}]","22585","instructions","0","22585","0.0-0.0","","","",""
"","9854","html","1","33737","0.0-1.0","src/external_html/simple_consent.html","","",""
"","13990","survey-text","2","48732","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""Psychobiology""}","",""
"","3850","survey-multi-choice","3","53610","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","1749","survey-multi-choice","4","56361","0.0-4.0","","{""Q0"":""Yes""}","",""
"","9445","survey-text","5","66809","0.0-5.0","","{""Q0"":""12.75"",""Q1"":""13""}","",""
"","3085","survey-multi-choice","6","70897","0.0-6.0","","{""Q0"":""Yes""}","",""
"","21205","survey-multi-choice","7","93106","0.0-7.0","","{""Q0"":""Yesterday Afternoon""}","",""
"","9772","survey-multi-choice","8","103881","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","5798","survey-likert","9","110682","0.0-9.0","","{""Q0"":""4""}","",""
"","4772","survey-likert","10","116458","0.0-10.0","","{""Q0"":""5""}","",""
"","6117","survey-likert","11","123578","0.0-11.0","","{""Q0"":""6""}","",""
"","4086","survey-likert","12","128666","0.0-12.0","","{""Q0"":""4""}","",""
"[{""page_index"":0,""viewing_time"":982},{""page_index"":1,""viewing_time"":18169},{""page_index"":2,""viewing_time"":2744},{""page_index"":3,""viewing_time"":3855},{""page_index"":2,""viewing_time"":897},{""page_index"":3,""viewing_time"":607},{""page_index"":4,""viewing_time"":3056}]","30311","instructions","13","159978","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":75912},{""page_index"":1,""viewing_time"":2200}]","78112","instructions","14","239091","0.0-14.0","","","",""
"","8742","survey-likert","15","248835","0.0-15.0","","{""Q0"":""3""}","",""
"","2757","survey-likert","16","252595","0.0-16.0","","{""Q0"":""3""}","",""
"","3621","survey-likert","17","257219","0.0-17.0","","{""Q0"":""3""}","",""
"","3013","survey-likert","18","261235","0.0-18.0","","{""Q0"":""4""}","",""
"","2661","survey-likert","19","264899","0.0-19.0","","{""Q0"":""3""}","",""
"","3125","survey-likert","20","269027","0.0-20.0","","{""Q0"":""4""}","",""
"","6414","suitability","21","278444","0.0-21.0","","","88","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":43103},{""page_index"":1,""viewing_time"":1320}]","44424","instructions","22","323869","0.0-22.0","","","",""
"","3398","survey-likert","23","328270","0.0-23.0","","{""Q0"":""3""}","",""
"","2742","survey-likert","24","332013","0.0-24.0","","{""Q0"":""3""}","",""
"","1869","survey-likert","25","334885","0.0-25.0","","{""Q0"":""3""}","",""
"","7045","survey-likert","26","342933","0.0-26.0","","{""Q0"":""4""}","",""
"","2957","survey-likert","27","346893","0.0-27.0","","{""Q0"":""3""}","",""
"","2596","survey-likert","28","350493","0.0-28.0","","{""Q0"":""3""}","",""
"","3805","suitability","29","357302","0.0-29.0","","","91","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":67432},{""page_index"":1,""viewing_time"":1408}]","68840","instructions","30","427143","0.0-30.0","","","",""
"","2359","survey-likert","31","430503","0.0-31.0","","{""Q0"":""3""}","",""
"","2789","survey-likert","32","434295","0.0-32.0","","{""Q0"":""3""}","",""
"","2926","survey-likert","33","438223","0.0-33.0","","{""Q0"":""3""}","",""
"","2461","survey-likert","34","441687","0.0-34.0","","{""Q0"":""4""}","",""
"","2989","survey-likert","35","445679","0.0-35.0","","{""Q0"":""3""}","",""
"","4550","survey-likert","36","451231","0.0-36.0","","{""Q0"":""3""}","",""
"","2732","suitability","37","456967","0.0-37.0","","","81","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":22837},{""page_index"":1,""viewing_time"":1336}]","24174","instructions","38","482143","0.0-38.0","","","",""
"","5466","survey-likert","39","488609","0.0-39.0","","{""Q0"":""3""}","",""
"","3542","survey-likert","40","493153","0.0-40.0","","{""Q0"":""3""}","",""
"","1998","survey-likert","41","496153","0.0-41.0","","{""Q0"":""3""}","",""
"","1981","survey-likert","42","499137","0.0-42.0","","{""Q0"":""4""}","",""
"","1502","survey-likert","43","501641","0.0-43.0","","{""Q0"":""3""}","",""
"","2709","survey-likert","44","505353","0.0-44.0","","{""Q0"":""3""}","",""
"","4030","suitability","45","512385","0.0-45.0","","","93","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
