"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":7628},{""page_index"":1,""viewing_time"":2135},{""page_index"":2,""viewing_time"":3496},{""page_index"":3,""viewing_time"":4416}]","17676","instructions","0","17677","0.0-0.0","","","",""
"","11840","html","1","30734","0.0-1.0","src/external_html/simple_consent.html","","",""
"","13182","survey-text","2","44920","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""Psychobiology""}","",""
"","6968","survey-multi-choice","3","52895","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","2764","survey-multi-choice","4","56662","0.0-4.0","","{""Q0"":""No""}","",""
"","15150","survey-text","5","72814","0.0-5.0","","{""Q0"":""0"",""Q1"":""0""}","",""
"","2765","survey-multi-choice","6","76582","0.0-6.0","","{""Q0"":""Yes""}","",""
"","4869","survey-multi-choice","7","82454","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","5100","survey-multi-choice","8","88558","0.0-8.0","","{""Q0"":""2-4 Hours""}","",""
"","6839","survey-likert","9","96400","0.0-9.0","","{""Q0"":""3""}","",""
"","6013","survey-likert","10","103415","0.0-10.0","","{""Q0"":""4""}","",""
"","3918","survey-likert","11","108335","0.0-11.0","","{""Q0"":""6""}","",""
"","6669","survey-likert","12","116006","0.0-12.0","","{""Q0"":""1""}","",""
"[{""page_index"":0,""viewing_time"":1678},{""page_index"":1,""viewing_time"":20984},{""page_index"":2,""viewing_time"":2576},{""page_index"":3,""viewing_time"":3880},{""page_index"":4,""viewing_time"":3952}]","33070","instructions","13","150078","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":30689},{""page_index"":1,""viewing_time"":1969}]","32658","instructions","14","183737","0.0-14.0","","","",""
"","5551","survey-likert","15","190289","0.0-15.0","","{""Q0"":""4""}","",""
"","3790","survey-likert","16","195081","0.0-16.0","","{""Q0"":""4""}","",""
"","5526","survey-likert","17","201610","0.0-17.0","","{""Q0"":""4""}","",""
"","3622","survey-likert","18","206233","0.0-18.0","","{""Q0"":""4""}","",""
"","3926","survey-likert","19","211161","0.0-19.0","","{""Q0"":""4""}","",""
"","3256","survey-likert","20","215417","0.0-20.0","","{""Q0"":""4""}","",""
"","8901","suitability","21","227322","0.0-21.0","","","100","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":25718},{""page_index"":1,""viewing_time"":2257}]","27975","instructions","22","256298","0.0-22.0","","","",""
"","3846","survey-likert","23","261146","0.0-23.0","","{""Q0"":""4""}","",""
"","5454","survey-likert","24","267602","0.0-24.0","","{""Q0"":""4""}","",""
"","2262","survey-likert","25","270866","0.0-25.0","","{""Q0"":""4""}","",""
"","1623","survey-likert","26","273489","0.0-26.0","","{""Q0"":""4""}","",""
"","3615","survey-likert","27","278106","0.0-27.0","","{""Q0"":""4""}","",""
"","3598","survey-likert","28","282705","0.0-28.0","","{""Q0"":""4""}","",""
"","4756","suitability","29","290466","0.0-29.0","","","100","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":28766},{""page_index"":1,""viewing_time"":1615}]","30382","instructions","30","321849","0.0-30.0","","","",""
"","2565","survey-likert","31","325417","0.0-31.0","","{""Q0"":""4""}","",""
"","3270","survey-likert","32","329689","0.0-32.0","","{""Q0"":""4""}","",""
"","1662","survey-likert","33","332353","0.0-33.0","","{""Q0"":""4""}","",""
"","1398","survey-likert","34","334753","0.0-34.0","","{""Q0"":""4""}","",""
"","1783","survey-likert","35","337538","0.0-35.0","","{""Q0"":""4""}","",""
"","2246","survey-likert","36","340785","0.0-36.0","","{""Q0"":""4""}","",""
"","4445","suitability","37","348233","0.0-37.0","","","100","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":23286},{""page_index"":1,""viewing_time"":1368}]","24655","instructions","38","373889","0.0-38.0","","","",""
"","3022","survey-likert","39","377913","0.0-39.0","","{""Q0"":""4""}","",""
"","1494","survey-likert","40","380409","0.0-40.0","","{""Q0"":""4""}","",""
"","3318","survey-likert","41","384728","0.0-41.0","","{""Q0"":""4""}","",""
"","3270","survey-likert","42","389001","0.0-42.0","","{""Q0"":""4""}","",""
"","1815","survey-likert","43","391817","0.0-43.0","","{""Q0"":""4""}","",""
"","1374","survey-likert","44","394193","0.0-44.0","","{""Q0"":""4""}","",""
"","5038","suitability","45","402233","0.0-45.0","","","100","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
