"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":3899},{""page_index"":1,""viewing_time"":2743},{""page_index"":2,""viewing_time"":1945},{""page_index"":3,""viewing_time"":4615}]","13203","instructions","0","13203","0.0-0.0","","","",""
"","5582","html","1","19995","0.0-1.0","src/external_html/simple_consent.html","","",""
"","11811","survey-text","2","32812","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""Cognitive Science""}","",""
"","4703","survey-multi-choice","3","38523","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","1964","survey-multi-choice","4","41490","0.0-4.0","","{""Q0"":""Yes""}","",""
"","8430","survey-text","5","50922","0.0-5.0","","{""Q0"":""12"",""Q1"":""7""}","",""
"","2125","survey-multi-choice","6","54050","0.0-6.0","","{""Q0"":""No""}","",""
"","4500","survey-multi-choice","7","59554","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","6109","survey-multi-choice","8","66666","0.0-8.0","","{""Q0"":""4-6 Hours""}","",""
"","4422","survey-likert","9","72091","0.0-9.0","","{""Q0"":""5""}","",""
"","3045","survey-likert","10","76138","0.0-10.0","","{""Q0"":""5""}","",""
"","5798","survey-likert","11","82938","0.0-11.0","","{""Q0"":""4""}","",""
"","5742","survey-likert","12","89681","0.0-12.0","","{""Q0"":""4""}","",""
"[{""page_index"":0,""viewing_time"":1247},{""page_index"":1,""viewing_time"":29248},{""page_index"":2,""viewing_time"":3552},{""page_index"":3,""viewing_time"":3008},{""page_index"":4,""viewing_time"":2768}]","39823","instructions","13","130505","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":48271},{""page_index"":1,""viewing_time"":3840}]","52111","instructions","14","183617","0.0-14.0","","","",""
"","3431","survey-likert","15","188049","0.0-15.0","","{""Q0"":""3""}","",""
"","4549","survey-likert","16","193601","0.0-16.0","","{""Q0"":""3""}","",""
"","4303","survey-likert","17","198905","0.0-17.0","","{""Q0"":""4""}","",""
"","3334","survey-likert","18","203241","0.0-18.0","","{""Q0"":""3""}","",""
"","5573","survey-likert","19","209817","0.0-19.0","","{""Q0"":""3""}","",""
"","4125","survey-likert","20","214945","0.0-20.0","","{""Q0"":""3""}","",""
"","6340","suitability","21","224290","0.0-21.0","","","87","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":28790},{""page_index"":1,""viewing_time"":3296}]","32086","instructions","22","257377","0.0-22.0","","","",""
"","1998","survey-likert","23","260378","0.0-23.0","","{""Q0"":""3""}","",""
"","2837","survey-likert","24","264217","0.0-24.0","","{""Q0"":""3""}","",""
"","2102","survey-likert","25","267321","0.0-25.0","","{""Q0"":""3""}","",""
"","3047","survey-likert","26","271370","0.0-26.0","","{""Q0"":""4""}","",""
"","2247","survey-likert","27","274617","0.0-27.0","","{""Q0"":""3""}","",""
"","2252","survey-likert","28","277873","0.0-28.0","","{""Q0"":""3""}","",""
"","3267","suitability","29","284146","0.0-29.0","","","90","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":22166},{""page_index"":1,""viewing_time"":3320}]","25486","instructions","30","310633","0.0-30.0","","","",""
"","2799","survey-likert","31","314435","0.0-31.0","","{""Q0"":""3""}","",""
"","2463","survey-likert","32","317899","0.0-32.0","","{""Q0"":""3""}","",""
"","3054","survey-likert","33","321955","0.0-33.0","","{""Q0"":""3""}","",""
"","1671","survey-likert","34","324628","0.0-34.0","","{""Q0"":""3""}","",""
"","1798","survey-likert","35","327427","0.0-35.0","","{""Q0"":""3""}","",""
"","2853","survey-likert","36","331283","0.0-36.0","","{""Q0"":""3""}","",""
"","3131","suitability","37","337419","0.0-37.0","","","91","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":29078},{""page_index"":1,""viewing_time"":2185}]","31263","instructions","38","369683","0.0-38.0","","","",""
"","2927","survey-likert","39","373611","0.0-39.0","","{""Q0"":""3""}","",""
"","1748","survey-likert","40","376362","0.0-40.0","","{""Q0"":""3""}","",""
"","7094","survey-likert","41","384459","0.0-41.0","","{""Q0"":""3""}","",""
"","1567","survey-likert","42","387026","0.0-42.0","","{""Q0"":""3""}","",""
"","2118","survey-likert","43","390147","0.0-43.0","","{""Q0"":""3""}","",""
"","4278","survey-likert","44","395427","0.0-44.0","","{""Q0"":""4""}","",""
"","2002","suitability","45","400435","0.0-45.0","","","92","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
