"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":5485},{""page_index"":1,""viewing_time"":2335},{""page_index"":2,""viewing_time"":3560},{""page_index"":3,""viewing_time"":4816}]","16196","instructions","0","16197","0.0-0.0","","","",""
"","6246","html","1","23677","0.0-1.0","src/external_html/simple_consent.html","","",""
"","15149","survey-text","2","39830","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""Cognitive Science""}","",""
"","3830","survey-multi-choice","3","44668","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","3333","survey-multi-choice","4","49004","0.0-4.0","","{""Q0"":""Yes""}","",""
"","18478","survey-text","5","68483","0.0-5.0","","{""Q0"":""11.50"",""Q1"":""20""}","",""
"","3029","survey-multi-choice","6","72515","0.0-6.0","","{""Q0"":""No""}","",""
"","6810","survey-multi-choice","7","80331","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","4245","survey-multi-choice","8","85579","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","7245","survey-likert","9","93828","0.0-9.0","","{""Q0"":""4""}","",""
"","5768","survey-likert","10","100597","0.0-10.0","","{""Q0"":""4""}","",""
"","3534","survey-likert","11","105133","0.0-11.0","","{""Q0"":""3""}","",""
"","7469","survey-likert","12","113605","0.0-12.0","","{""Q0"":""2""}","",""
"[{""page_index"":0,""viewing_time"":1477},{""page_index"":1,""viewing_time"":14009},{""page_index"":2,""viewing_time"":5015},{""page_index"":3,""viewing_time"":5089},{""page_index"":4,""viewing_time"":2576}]","28166","instructions","13","142773","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":104247},{""page_index"":1,""viewing_time"":2184}]","106431","instructions","14","250205","0.0-14.0","","","",""
"","10110","survey-likert","15","261317","0.0-15.0","","{""Q0"":""3""}","",""
"","4070","survey-likert","16","266389","0.0-16.0","","{""Q0"":""3""}","",""
"","4221","survey-likert","17","271613","0.0-17.0","","{""Q0"":""2""}","",""
"","2912","survey-likert","18","275526","0.0-18.0","","{""Q0"":""3""}","",""
"","4012","survey-likert","19","280541","0.0-19.0","","{""Q0"":""2""}","",""
"","2709","survey-likert","20","284253","0.0-20.0","","{""Q0"":""4""}","",""
"","8131","suitability","21","295390","0.0-21.0","","","86","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":36750},{""page_index"":1,""viewing_time"":1576}]","38326","instructions","22","334717","0.0-22.0","","","",""
"","5638","survey-likert","23","341358","0.0-23.0","","{""Q0"":""2""}","",""
"","4006","survey-likert","24","346366","0.0-24.0","","{""Q0"":""3""}","",""
"","10237","survey-likert","25","357605","0.0-25.0","","{""Q0"":""2""}","",""
"","10118","survey-likert","26","368725","0.0-26.0","","{""Q0"":""3""}","",""
"","3692","survey-likert","27","373421","0.0-27.0","","{""Q0"":""3""}","",""
"","2198","survey-likert","28","376621","0.0-28.0","","{""Q0"":""2""}","",""
"","6795","suitability","29","386422","0.0-29.0","","","72","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":47367},{""page_index"":1,""viewing_time"":1767}]","49135","instructions","30","436558","0.0-30.0","","","",""
"","5975","survey-likert","31","443534","0.0-31.0","","{""Q0"":""4""}","",""
"","2750","survey-likert","32","447286","0.0-32.0","","{""Q0"":""3""}","",""
"","4118","survey-likert","33","452406","0.0-33.0","","{""Q0"":""2""}","",""
"","2181","survey-likert","34","455590","0.0-34.0","","{""Q0"":""2""}","",""
"","1734","survey-likert","35","458326","0.0-35.0","","{""Q0"":""3""}","",""
"","2319","survey-likert","36","461646","0.0-36.0","","{""Q0"":""3""}","",""
"","5029","suitability","37","469678","0.0-37.0","","","84","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":30191},{""page_index"":1,""viewing_time"":2008}]","32199","instructions","38","502878","0.0-38.0","","","",""
"","1927","survey-likert","39","505807","0.0-39.0","","{""Q0"":""3""}","",""
"","2310","survey-likert","40","509119","0.0-40.0","","{""Q0"":""2""}","",""
"","1846","survey-likert","41","511966","0.0-41.0","","{""Q0"":""3""}","",""
"","1740","survey-likert","42","514711","0.0-42.0","","{""Q0"":""3""}","",""
"","1278","survey-likert","43","516991","0.0-43.0","","{""Q0"":""3""}","",""
"","1934","survey-likert","44","519926","0.0-44.0","","{""Q0"":""3""}","",""
"","2941","suitability","45","525870","0.0-45.0","","","82","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
