"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":2802},{""page_index"":1,""viewing_time"":1848},{""page_index"":2,""viewing_time"":3407},{""page_index"":3,""viewing_time"":2544}]","10602","instructions","0","10603","0.0-0.0","","","",""
"","5825","html","1","17643","0.0-1.0","src/external_html/simple_consent.html","","",""
"","12557","survey-text","2","31219","0.0-2.0","","{""Q0"":""21"",""Q1"":""3"",""Q2"":""Psychology""}","",""
"","6016","survey-multi-choice","3","38324","0.0-3.0","","{""Q0"":""Male"",""Q1"":""Hispanic/Latino""}","",""
"","2282","survey-multi-choice","4","41610","0.0-4.0","","{""Q0"":""Yes""}","",""
"","15582","survey-text","5","58194","0.0-5.0","","{""Q0"":""14.50"",""Q1"":""12""}","",""
"","2981","survey-multi-choice","6","62179","0.0-6.0","","{""Q0"":""No""}","",""
"","5461","survey-multi-choice","7","68643","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","10732","survey-multi-choice","8","80379","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","4100","survey-likert","9","85483","0.0-9.0","","{""Q0"":""5""}","",""
"","4940","survey-likert","10","91427","0.0-10.0","","{""Q0"":""6""}","",""
"","5045","survey-likert","11","97475","0.0-11.0","","{""Q0"":""3""}","",""
"","5046","survey-likert","12","103523","0.0-12.0","","{""Q0"":""1""}","",""
"[{""page_index"":0,""viewing_time"":1958},{""page_index"":1,""viewing_time"":28241},{""page_index"":2,""viewing_time"":4784},{""page_index"":3,""viewing_time"":4032},{""page_index"":2,""viewing_time"":5544},{""page_index"":3,""viewing_time"":11088},{""page_index"":4,""viewing_time"":3936}]","59583","instructions","13","164107","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":46112},{""page_index"":1,""viewing_time"":4224}]","50336","instructions","14","215444","0.0-14.0","","","",""
"","7327","survey-likert","15","223772","0.0-15.0","","{""Q0"":""2""}","",""
"","4879","survey-likert","16","229652","0.0-16.0","","{""Q0"":""3""}","",""
"","4742","survey-likert","17","235395","0.0-17.0","","{""Q0"":""2""}","",""
"","3622","survey-likert","18","240036","0.0-18.0","","{""Q0"":""3""}","",""
"","3990","survey-likert","19","245027","0.0-19.0","","{""Q0"":""3""}","",""
"","4446","survey-likert","20","250475","0.0-20.0","","{""Q0"":""3""}","",""
"","3779","suitability","21","257261","0.0-21.0","","","50","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":35126},{""page_index"":1,""viewing_time"":1296}]","36422","instructions","22","294683","0.0-22.0","","","",""
"","2431","survey-likert","23","298115","0.0-23.0","","{""Q0"":""3""}","",""
"","2455","survey-likert","24","301571","0.0-24.0","","{""Q0"":""4""}","",""
"","3247","survey-likert","25","305819","0.0-25.0","","{""Q0"":""4""}","",""
"","2567","survey-likert","26","309387","0.0-26.0","","{""Q0"":""4""}","",""
"","1838","survey-likert","27","312226","0.0-27.0","","{""Q0"":""4""}","",""
"","4821","survey-likert","28","318050","0.0-28.0","","{""Q0"":""4""}","",""
"","9885","suitability","29","330940","0.0-29.0","","","74","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":49384},{""page_index"":1,""viewing_time"":1376}]","50760","instructions","30","382701","0.0-30.0","","","",""
"","16078","survey-likert","31","399782","0.0-31.0","","{""Q0"":""3""}","",""
"","1989","survey-likert","32","402773","0.0-32.0","","{""Q0"":-1}","",""
"","1670","survey-likert","33","405446","0.0-33.0","","{""Q0"":-1}","",""
"","4742","survey-likert","34","411190","0.0-34.0","","{""Q0"":""4""}","",""
"","3766","survey-likert","35","415957","0.0-35.0","","{""Q0"":""4""}","",""
"","2782","survey-likert","36","419741","0.0-36.0","","{""Q0"":""3""}","",""
"","3086","suitability","37","425829","0.0-37.0","","","68","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":25800},{""page_index"":1,""viewing_time"":1919}]","27719","instructions","38","454549","0.0-38.0","","","",""
"","2878","survey-likert","39","458430","0.0-39.0","","{""Q0"":""3""}","",""
"","5677","survey-likert","40","465110","0.0-40.0","","{""Q0"":""2""}","",""
"","3199","survey-likert","41","469310","0.0-41.0","","{""Q0"":""3""}","",""
"","1543","survey-likert","42","471854","0.0-42.0","","{""Q0"":""3""}","",""
"","2063","survey-likert","43","474918","0.0-43.0","","{""Q0"":""3""}","",""
"","2615","survey-likert","44","478534","0.0-44.0","","{""Q0"":""4""}","",""
"","2126","suitability","45","483662","0.0-45.0","","","56","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
