"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":2233},{""page_index"":1,""viewing_time"":1775},{""page_index"":2,""viewing_time"":2240},{""page_index"":3,""viewing_time"":2536}]","8785","instructions","0","8785","0.0-0.0","","","",""
"","7628","html","1","17521","0.0-1.0","src/external_html/simple_consent.html","","",""
"","14356","survey-text","2","32882","0.0-2.0","","{""Q0"":""19"",""Q1"":""2"",""Q2"":""Cognitive Science""}","",""
"","3048","survey-multi-choice","3","36955","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","1933","survey-multi-choice","4","39890","0.0-4.0","","{""Q0"":""Yes""}","",""
"","9678","survey-text","5","50570","0.0-5.0","","{""Q0"":""13.90"",""Q1"":""15""}","",""
"","1829","survey-multi-choice","6","53402","0.0-6.0","","{""Q0"":""Yes""}","",""
"","10165","survey-multi-choice","7","64570","0.0-7.0","","{""Q0"":""Yesterday Morning""}","",""
"","3940","survey-multi-choice","8","69515","0.0-8.0","","{""Q0"":""4-6 Hours""}","",""
"","4765","survey-likert","9","75282","0.0-9.0","","{""Q0"":""4""}","",""
"","6357","survey-likert","10","82642","0.0-10.0","","{""Q0"":""3""}","",""
"","3438","survey-likert","11","87082","0.0-11.0","","{""Q0"":""6""}","",""
"","5037","survey-likert","12","93121","0.0-12.0","","{""Q0"":""4""}","",""
"[{""page_index"":0,""viewing_time"":1590},{""page_index"":1,""viewing_time"":16465},{""page_index"":2,""viewing_time"":3799},{""page_index"":3,""viewing_time"":4185},{""page_index"":4,""viewing_time"":1911}]","27951","instructions","13","122074","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":47471},{""page_index"":1,""viewing_time"":2466}]","49937","instructions","14","173011","0.0-14.0","","","",""
"","4494","survey-likert","15","178507","0.0-15.0","","{""Q0"":""4""}","",""
"","4101","survey-likert","16","183611","0.0-16.0","","{""Q0"":""3""}","",""
"","4398","survey-likert","17","189012","0.0-17.0","","{""Q0"":""3""}","",""
"","3085","survey-likert","18","193100","0.0-18.0","","{""Q0"":""4""}","",""
"","3422","survey-likert","19","197523","0.0-19.0","","{""Q0"":""3""}","",""
"","7277","survey-likert","20","205803","0.0-20.0","","{""Q0"":""4""}","",""
"","5450","suitability","21","214260","0.0-21.0","","","86","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":15437},{""page_index"":1,""viewing_time"":1488}]","16926","instructions","22","232187","0.0-22.0","","","",""
"","3238","survey-likert","23","236428","0.0-23.0","","{""Q0"":""4""}","",""
"","6592","survey-likert","24","244020","0.0-24.0","","{""Q0"":""3""}","",""
"","3310","survey-likert","25","248332","0.0-25.0","","{""Q0"":""3""}","",""
"","1846","survey-likert","26","251180","0.0-26.0","","{""Q0"":""4""}","",""
"","3543","survey-likert","27","255724","0.0-27.0","","{""Q0"":""3""}","",""
"","1990","survey-likert","28","258716","0.0-28.0","","{""Q0"":""3""}","",""
"","3900","suitability","29","265620","0.0-29.0","","","88","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":18558},{""page_index"":1,""viewing_time"":992}]","19550","instructions","30","286171","0.0-30.0","","","",""
"","3775","survey-likert","31","290947","0.0-31.0","","{""Q0"":""4""}","",""
"","2479","survey-likert","32","294427","0.0-32.0","","{""Q0"":""3""}","",""
"","3934","survey-likert","33","299363","0.0-33.0","","{""Q0"":""3""}","",""
"","2045","survey-likert","34","302411","0.0-34.0","","{""Q0"":""4""}","",""
"","1903","survey-likert","35","305315","0.0-35.0","","{""Q0"":""3""}","",""
"","1678","survey-likert","36","307995","0.0-36.0","","{""Q0"":""3""}","",""
"","4165","suitability","37","315164","0.0-37.0","","","89","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":14725},{""page_index"":1,""viewing_time"":1424}]","16149","instructions","38","332315","0.0-38.0","","","",""
"","2326","survey-likert","39","335643","0.0-39.0","","{""Q0"":""4""}","",""
"","2191","survey-likert","40","338835","0.0-40.0","","{""Q0"":""3""}","",""
"","1670","survey-likert","41","341507","0.0-41.0","","{""Q0"":""3""}","",""
"","3150","survey-likert","42","345659","0.0-42.0","","{""Q0"":""4""}","",""
"","2182","survey-likert","43","348843","0.0-43.0","","{""Q0"":""3""}","",""
"","3502","survey-likert","44","353347","0.0-44.0","","{""Q0"":""3""}","",""
"","3213","suitability","45","359564","0.0-45.0","","","89","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
