"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":5083},{""page_index"":1,""viewing_time"":3279},{""page_index"":2,""viewing_time"":2064},{""page_index"":3,""viewing_time"":3576}]","14002","instructions","0","14003","0.0-0.0","","","",""
"","8573","html","1","23779","0.0-1.0","src/external_html/simple_consent.html","","",""
"","10516","survey-text","2","35299","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""Psychology""}","",""
"","3936","survey-multi-choice","3","40244","0.0-3.0","","{""Q0"":""Female"",""Q1"":""White""}","",""
"","1877","survey-multi-choice","4","43123","0.0-4.0","","{""Q0"":""No""}","",""
"","10390","survey-text","5","54514","0.0-5.0","","{""Q0"":""N/A"",""Q1"":""N/A""}","",""
"","4030","survey-multi-choice","6","59546","0.0-6.0","","{""Q0"":""Yes""}","",""
"","3781","survey-multi-choice","7","64330","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","5484","survey-multi-choice","8","70819","0.0-8.0","","{""Q0"":""6-8 Hours""}","",""
"","9966","survey-likert","9","81787","0.0-9.0","","{""Q0"":""5""}","",""
"","8212","survey-likert","10","91002","0.0-10.0","","{""Q0"":""4""}","",""
"","8264","survey-likert","11","100268","0.0-11.0","","{""Q0"":""4""}","",""
"","13653","survey-likert","12","114924","0.0-12.0","","{""Q0"":""2""}","",""
"[{""page_index"":0,""viewing_time"":1735},{""page_index"":1,""viewing_time"":21464},{""page_index"":2,""viewing_time"":3895},{""page_index"":3,""viewing_time"":3953},{""page_index"":4,""viewing_time"":5680}]","36727","instructions","13","152652","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":50967},{""page_index"":1,""viewing_time"":3096}]","54063","instructions","14","207716","0.0-14.0","","","",""
"","5630","survey-likert","15","214348","0.0-15.0","","{""Q0"":""3""}","",""
"","5590","survey-likert","16","220940","0.0-16.0","","{""Q0"":""4""}","",""
"","4310","survey-likert","17","226253","0.0-17.0","","{""Q0"":""4""}","",""
"","3374","survey-likert","18","230629","0.0-18.0","","{""Q0"":""4""}","",""
"","5645","survey-likert","19","237276","0.0-19.0","","{""Q0"":""3""}","",""
"","3837","survey-likert","20","242116","0.0-20.0","","{""Q0"":""4""}","",""
"","11964","suitability","21","257086","0.0-21.0","","","87","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":42598},{""page_index"":1,""viewing_time"":1329}]","43927","instructions","22","302014","0.0-22.0","","","",""
"","8989","survey-likert","23","312006","0.0-23.0","","{""Q0"":""4""}","",""
"","2510","survey-likert","24","315517","0.0-24.0","","{""Q0"":""4""}","",""
"","3669","survey-likert","25","320190","0.0-25.0","","{""Q0"":""4""}","",""
"","7333","survey-likert","26","328526","0.0-26.0","","{""Q0"":""4""}","",""
"","3878","survey-likert","27","333406","0.0-27.0","","{""Q0"":""3""}","",""
"","2909","survey-likert","28","337318","0.0-28.0","","{""Q0"":""4""}","",""
"","13476","suitability","29","353798","0.0-29.0","","","94","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":37798},{""page_index"":1,""viewing_time"":2568}]","40367","instructions","30","395166","0.0-30.0","","","",""
"","3270","survey-likert","31","399438","0.0-31.0","","{""Q0"":""3""}","",""
"","4045","survey-likert","32","404487","0.0-32.0","","{""Q0"":""4""}","",""
"","7325","survey-likert","33","412814","0.0-33.0","","{""Q0"":""4""}","",""
"","4142","survey-likert","34","417958","0.0-34.0","","{""Q0"":""4""}","",""
"","10710","survey-likert","35","429670","0.0-35.0","","{""Q0"":""3""}","",""
"","4822","survey-likert","36","435494","0.0-36.0","","{""Q0"":""3""}","",""
"","6829","suitability","37","445327","0.0-37.0","","","87","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":59254},{""page_index"":1,""viewing_time"":1048}]","60302","instructions","38","506629","0.0-38.0","","","",""
"","2301","survey-likert","39","509934","0.0-39.0","","{""Q0"":""3""}","",""
"","2095","survey-likert","40","513030","0.0-40.0","","{""Q0"":""4""}","",""
"","3406","survey-likert","41","517438","0.0-41.0","","{""Q0"":""4""}","",""
"","3030","survey-likert","42","521470","0.0-42.0","","{""Q0"":""4""}","",""
"","2294","survey-likert","43","524765","0.0-43.0","","{""Q0"":""4""}","",""
"","2847","survey-likert","44","528613","0.0-44.0","","{""Q0"":""4""}","",""
"","5443","suitability","45","537062","0.0-45.0","","","94","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
