"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":1018},{""page_index"":1,""viewing_time"":479},{""page_index"":2,""viewing_time"":491},{""page_index"":3,""viewing_time"":408}]","2397","instructions","0","2398","0.0-0.0","","","",""
"","2618","html","1","6026","0.0-1.0","src/external_html/simple_consent.html","","",""
"","6388","survey-text","2","13421","0.0-2.0","","{""Q0"":""20"",""Q1"":""3"",""Q2"":""CogniT""}","",""
"","1855","survey-multi-choice","3","16288","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Hispanic/Latino""}","",""
"","1218","survey-multi-choice","4","18511","0.0-4.0","","{""Q0"":""No""}","",""
"","4460","survey-text","5","23975","0.0-5.0","","{""Q0"":""3"",""Q1"":""2""}","",""
"","2967","survey-multi-choice","6","27946","0.0-6.0","","{""Q0"":""Yes""}","",""
"","1086","survey-multi-choice","7","30037","0.0-7.0","","{""Q0"":""This Morning""}","",""
"","1319","survey-multi-choice","8","32365","0.0-8.0","","{""Q0"":""2-4 Hours""}","",""
"","1343","survey-likert","9","34716","0.0-9.0","","{""Q0"":-1}","",""
"","1360","survey-likert","10","37079","0.0-10.0","","{""Q0"":""1""}","",""
"","2300","survey-likert","11","40381","0.0-11.0","","{""Q0"":""2""}","",""
"","1360","survey-likert","12","42743","0.0-12.0","","{""Q0"":""2""}","",""
"[{""page_index"":0,""viewing_time"":567},{""page_index"":1,""viewing_time"":846},{""page_index"":2,""viewing_time"":1286},{""page_index"":3,""viewing_time"":518},{""page_index"":4,""viewing_time"":618}]","3835","instructions","13","47578","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":2037},{""page_index"":1,""viewing_time"":740}]","2777","instructions","14","51360","0.0-14.0","","","",""
"","1811","survey-likert","15","54178","0.0-15.0","","{""Q0"":""2""}","",""
"","1560","survey-likert","16","56744","0.0-16.0","","{""Q0"":""0""}","",""
"","1233","survey-likert","17","58980","0.0-17.0","","{""Q0"":""2""}","",""
"","2136","survey-likert","18","62120","0.0-18.0","","{""Q0"":""1""}","",""
"","2464","survey-likert","19","65588","0.0-19.0","","{""Q0"":""0""}","",""
"","1847","survey-likert","20","68442","0.0-20.0","","{""Q0"":""3""}","",""
"","2314","competence","21","73771","0.0-21.0","","","28","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"","3228","suitability","22","80012","0.0-22.0","","","85","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":1893},{""page_index"":1,""viewing_time"":1235}]","3128","instructions","23","84143","0.0-23.0","","","",""
"","1971","survey-likert","24","87121","0.0-24.0","","{""Q0"":""3""}","",""
"","3682","survey-likert","25","91809","0.0-25.0","","{""Q0"":""4""}","",""
"","1211","survey-likert","26","94025","0.0-26.0","","{""Q0"":""0""}","",""
"","857","survey-likert","27","95885","0.0-27.0","","{""Q0"":""1""}","",""
"","1037","survey-likert","28","97925","0.0-28.0","","{""Q0"":""2""}","",""
"","1990","survey-likert","29","100921","0.0-29.0","","{""Q0"":""3""}","",""
"","2190","competence","30","106123","0.0-30.0","","","19","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"","2014","suitability","31","111147","0.0-31.0","","","81","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":2367},{""page_index"":1,""viewing_time"":662}]","3029","instructions","32","115180","0.0-32.0","","","",""
"","1498","survey-likert","33","117684","0.0-33.0","","{""Q0"":""0""}","",""
"","3061","survey-likert","34","121750","0.0-34.0","","{""Q0"":""1""}","",""
"","1741","survey-likert","35","124496","0.0-35.0","","{""Q0"":""2""}","",""
"","1035","survey-likert","36","126536","0.0-36.0","","{""Q0"":""0""}","",""
"","2504","survey-likert","37","130044","0.0-37.0","","{""Q0"":""4""}","",""
"","4354","survey-likert","38","135404","0.0-38.0","","{""Q0"":""1""}","",""
"","2954","competence","39","141370","0.0-39.0","","","14","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"","2139","suitability","40","146520","0.0-40.0","","","86","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":2006},{""page_index"":1,""viewing_time"":1049}]","3055","instructions","41","150576","0.0-41.0","","","",""
"","2103","survey-likert","42","153683","0.0-42.0","","{""Q0"":""0""}","",""
"","1618","survey-likert","43","156305","0.0-43.0","","{""Q0"":""1""}","",""
"","1867","survey-likert","44","159175","0.0-44.0","","{""Q0"":""2""}","",""
"","1920","survey-likert","45","162097","0.0-45.0","","{""Q0"":""3""}","",""
"","1583","survey-likert","46","164687","0.0-46.0","","{""Q0"":""0""}","",""
"","1616","survey-likert","47","167309","0.0-47.0","","{""Q0"":""0""}","",""
"","1708","competence","48","172031","0.0-48.0","","","20","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"","1813","suitability","49","176857","0.0-49.0","","","81","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
